Regione,eta,maschi,femmine
Valle d'Aosta,83,338,513
Valle d'Aosta,84,296,468
Valle d'Aosta,85,242,440
Valle d'Aosta,86,236,439
Valle d'Aosta,87,192,380
Valle d'Aosta,88,175,357
Valle d'Aosta,89,162,355
Valle d'Aosta,90,136,276
Valle d'Aosta,91,96,246
Valle d'Aosta,92,63,205
Valle d'Aosta,93,50,164
Valle d'Aosta,94,49,117
Valle d'Aosta,95,20,82
Valle d'Aosta,96,16,73
Valle d'Aosta,97,12,51
Valle d'Aosta,98,5,44
Valle d'Aosta,99,4,25
Valle d'Aosta,100,6,24
Valle d'Aosta,Totale,61121,63913
Lombardia,0,37093,35467
Lombardia,1,39098,36924
Lombardia,2,41028,38592
Lombardia,3,42056,40244
Lombardia,4,43830,41237
Lombardia,5,44709,42533
Lombardia,6,45838,42983
Lombardia,7,47353,44660
Lombardia,8,48448,45543
Lombardia,9,50128,46654
Lombardia,10,50771,47893
Lombardia,11,50809,47928
Lombardia,12,50304,47264
Lombardia,13,50620,47347
Lombardia,14,49488,46241
Lombardia,15,49196,46883
Lombardia,16,48738,45352
Lombardia,17,48077,44769
Lombardia,18,48965,45473
Lombardia,19,50441,46118
Lombardia,20,50285,45505
Lombardia,21,51296,45312
Lombardia,22,50608,45548
Lombardia,23,50047,45646
Lombardia,24,49360,45629
Lombardia,25,49672,46619
Lombardia,26,50455,47959
Lombardia,27,52397,49840
Lombardia,28,52719,50695
Lombardia,29,54235,52332
Lombardia,30,54352,53202
Lombardia,31,56489,54323
Lombardia,32,55216,53877
Lombardia,33,55740,54378
Lombardia,34,57422,56430
Lombardia,35,59067,57477
Lombardia,36,60315,59273
Lombardia,37,62732,61380
Lombardia,38,63251,61744
Lombardia,39,64460,63071
Lombardia,40,66164,64610
Lombardia,41,70041,68064
Lombardia,42,73023,70983
Lombardia,43,75806,73739
Lombardia,44,80613,78690
Lombardia,45,83345,80832
Lombardia,46,82761,81260
Lombardia,47,83870,81567
Lombardia,48,84253,81331
Lombardia,49,83100,81021
Lombardia,50,84832,83430
Lombardia,51,84552,82788
Lombardia,52,83725,82957
Lombardia,53,85495,84157
Lombardia,54,84436,83800
Lombardia,55,83770,83187
Lombardia,56,77408,78489
Lombardia,57,73124,74733
Lombardia,58,70576,72608
Lombardia,59,67792,70250
Lombardia,60,65281,68668
Lombardia,61,62178,65238
Lombardia,62,60628,64086
Lombardia,63,59412,62993
Lombardia,64,56730,61918
Lombardia,65,55641,60253
Lombardia,66,53650,58088
Lombardia,67,52901,58131
Lombardia,68,51811,57818
Lombardia,69,53885,59808
Lombardia,70,53947,60389
Lombardia,71,55243,62509
Lombardia,72,53049,60453
Lombardia,73,53809,62153
Lombardia,74,39091,45685
Lombardia,75,40770,49059
Lombardia,76,39411,48388
Lombardia,77,39326,49065
Lombardia,78,38950,50014
Lombardia,79,41497,53401
Lombardia,80,39206,51554
Lombardia,81,36149,49382
Lombardia,82,30772,43613
Lombardia,83,26228,39047
Lombardia,84,24841,38863
Lombardia,85,21307,35346
Lombardia,86,18237,32392
Lombardia,87,15918,29830
Lombardia,88,13514,27035
Lombardia,89,11415,24828
Lombardia,90,8649,20681
Lombardia,91,6670,17382
Lombardia,92,5114,14465
Lombardia,93,3712,11581
Lombardia,94,2639,9290
Lombardia,95,1797,7186
Lombardia,96,1288,5346
Lombardia,97,819,3805
Lombardia,98,536,2792
Lombardia,99,312,1781
Lombardia,100,248,2070
Lombardia,Totale,4912375,5115227
Trentino-Alto Adige,0,4909,4559
Trentino-Alto Adige,1,5008,4728
Trentino-Alto Adige,2,5147,4877
Trentino-Alto Adige,3,5260,5018
Trentino-Alto Adige,4,5324,5072
Trentino-Alto Adige,5,5460,5176
Trentino-Alto Adige,6,5493,5130
Trentino-Alto Adige,7,5584,5275
Trentino-Alto Adige,8,5581,5320
Trentino-Alto Adige,9,5744,5348
Trentino-Alto Adige,10,5670,5304
Trentino-Alto Adige,11,5787,5493
Trentino-Alto Adige,12,5813,5344
Trentino-Alto Adige,13,5794,5443
Trentino-Alto Adige,14,5976,5420
Trentino-Alto Adige,15,5943,5586
Trentino-Alto Adige,16,5857,5404
Trentino-Alto Adige,17,5783,5381
Trentino-Alto Adige,18,6042,5454
Trentino-Alto Adige,19,6060,5712
Trentino-Alto Adige,20,6093,5687
Trentino-Alto Adige,21,6137,5791
Trentino-Alto Adige,22,6230,5684
Trentino-Alto Adige,23,6140,5741
Trentino-Alto Adige,24,6065,5538
Trentino-Alto Adige,25,6043,5730
Trentino-Alto Adige,26,5954,5687
Trentino-Alto Adige,27,6191,5889
Trentino-Alto Adige,28,6207,5868
Trentino-Alto Adige,29,6279,5895
Trentino-Alto Adige,30,6112,5913
Trentino-Alto Adige,31,6165,5927
Trentino-Alto Adige,32,5993,5904
Trentino-Alto Adige,33,6057,5866
Trentino-Alto Adige,34,6205,6004
Trentino-Alto Adige,35,6249,6015
Trentino-Alto Adige,36,6379,6250
Trentino-Alto Adige,37,6586,6473
Trentino-Alto Adige,38,6545,6411
Trentino-Alto Adige,39,6604,6531
Trentino-Alto Adige,40,6524,6655
Trentino-Alto Adige,41,6928,6955
Trentino-Alto Adige,42,6992,6988
Trentino-Alto Adige,43,7169,7378
Trentino-Alto Adige,44,7545,7766
Trentino-Alto Adige,45,8134,8095
Trentino-Alto Adige,46,8040,8232
Trentino-Alto Adige,47,8243,8270
Trentino-Alto Adige,48,8520,8556
Trentino-Alto Adige,49,8341,8421
Trentino-Alto Adige,50,8989,8645
Trentino-Alto Adige,51,8817,8660
Trentino-Alto Adige,52,8619,8797
Trentino-Alto Adige,53,8906,8878
Trentino-Alto Adige,54,9110,8799
Trentino-Alto Adige,55,8985,8838
Trentino-Alto Adige,56,8412,8284
Trentino-Alto Adige,57,7820,7961
Trentino-Alto Adige,58,7749,8003
Trentino-Alto Adige,59,7567,7505
Trentino-Alto Adige,60,7310,7234
Trentino-Alto Adige,61,6768,6877
Trentino-Alto Adige,62,6461,6891
Trentino-Alto Adige,63,6387,6504
Trentino-Alto Adige,64,6071,6249
Trentino-Alto Adige,65,5838,6063
Trentino-Alto Adige,66,5700,5988
Trentino-Alto Adige,67,5491,5863
Trentino-Alto Adige,68,5411,5608
Trentino-Alto Adige,69,5454,5900
Trentino-Alto Adige,70,5249,5572
Trentino-Alto Adige,71,5406,5725
Trentino-Alto Adige,72,5055,5694
Trentino-Alto Adige,73,5338,6105
Trentino-Alto Adige,74,3833,4306
Trentino-Alto Adige,75,4282,4980
Trentino-Alto Adige,76,4462,5248
Trentino-Alto Adige,77,4341,5150
Trentino-Alto Adige,78,4201,5143
Trentino-Alto Adige,79,3874,4965
Trentino-Alto Adige,80,3664,4703
Trentino-Alto Adige,81,3314,4374
Trentino-Alto Adige,82,2897,3881
Trentino-Alto Adige,83,2499,3670
Trentino-Alto Adige,84,2291,3556
Trentino-Alto Adige,85,2068,3354
Trentino-Alto Adige,86,1890,3106
Trentino-Alto Adige,87,1660,2863
Trentino-Alto Adige,88,1441,2595
Trentino-Alto Adige,89,1230,2516
Trentino-Alto Adige,90,917,2084
Trentino-Alto Adige,91,783,1755
Trentino-Alto Adige,92,611,1511
Trentino-Alto Adige,93,441,1226
Trentino-Alto Adige,94,319,1028
Trentino-Alto Adige,95,227,801
Trentino-Alto Adige,96,182,680
Trentino-Alto Adige,97,122,511
Trentino-Alto Adige,98,73,330
Trentino-Alto Adige,99,42,226
Trentino-Alto Adige,100,24,194
Trentino-Alto Adige,Totale,531506,546563
Veneto,0,17170,16105
Veneto,1,18182,17210
Veneto,2,19045,17886
Veneto,3,19652,18490
Veneto,4,20104,19164
Veneto,5,20775,19858
Veneto,6,21386,20228
Veneto,7,22410,21227
Veneto,8,22759,21680
Veneto,9,23631,22217
Veneto,10,23970,22523
Veneto,11,24379,23060
Veneto,12,24026,22912
Veneto,13,24202,22806
Veneto,14,24155,22562
Veneto,15,24434,22903
Veneto,16,23878,22581
Veneto,17,23819,22130
Veneto,18,23861,22057
Veneto,19,24839,23085
Veneto,20,24410,22854
Veneto,21,25119,22889
Veneto,22,25065,22951
Veneto,23,24876,22692
Veneto,24,24671,22235
Veneto,25,24364,22720
Veneto,26,24207,23235
Veneto,27,25406,23932
Veneto,28,25042,24193
Veneto,29,25868,24497
Veneto,30,25379,24753
Veneto,31,25784,25478
Veneto,32,25123,24462
Veneto,33,25022,25089
Veneto,34,26320,26407
Veneto,35,26351,26461
Veneto,36,27223,26760
Veneto,37,27887,28248
Veneto,38,28710,28546
Veneto,39,29856,28982
Veneto,40,30813,30528
Veneto,41,32922,32667
Veneto,42,33956,34078
Veneto,43,35831,35318
Veneto,44,37726,37068
Veneto,45,40012,39518
Veneto,46,39797,39192
Veneto,47,40703,39475
Veneto,48,40805,40398
Veneto,49,40992,40253
Veneto,50,42016,41333
Veneto,51,41273,41125
Veneto,52,41738,41276
Veneto,53,41925,41728
Veneto,54,41950,41685
Veneto,55,41863,42439
Veneto,56,39258,39684
Veneto,57,37709,38171
Veneto,58,36719,37491
Veneto,59,34573,35504
Veneto,60,34284,35243
Veneto,61,31863,33240
Veneto,62,31178,32416
Veneto,63,30267,32075
Veneto,64,29026,30934
Veneto,65,28673,30203
Veneto,66,27638,29141
Veneto,67,26815,28797
Veneto,68,26490,28180
Veneto,69,27004,29743
Veneto,70,26692,29001
Veneto,71,27070,30012
Veneto,72,26107,29235
Veneto,73,28001,31501
Veneto,74,18631,21794
Veneto,75,21355,24904
Veneto,76,21191,25451
Veneto,77,20078,24566
Veneto,78,19588,24041
Veneto,79,19956,25269
Veneto,80,19152,24113
Veneto,81,17182,23239
Veneto,82,14865,20744
Veneto,83,12690,19020
Veneto,84,12205,18519
Veneto,85,10761,17252
Veneto,86,8864,15053
Veneto,87,7593,14363
Veneto,88,6484,12947
Veneto,89,5643,12341
Veneto,90,4297,9879
Veneto,91,3334,8949
Veneto,92,2680,7639
Veneto,93,1940,5993
Veneto,94,1421,4847
Veneto,95,984,3644
Veneto,96,742,2875
Veneto,97,441,1971
Veneto,98,277,1387
Veneto,99,157,911
Veneto,100,157,985
Veneto,Totale,2389717,2489416
Friuli Venezia Giulia,0,3820,3630
Friuli Venezia Giulia,1,4003,3799
Friuli Venezia Giulia,2,4206,4023
Friuli Venezia Giulia,3,4430,4185
Friuli Venezia Giulia,4,4441,4274
Friuli Venezia Giulia,5,4790,4453
Friuli Venezia Giulia,6,4862,4564
Friuli Venezia Giulia,7,5028,4816
Friuli Venezia Giulia,8,5250,4771
Friuli Venezia Giulia,9,5352,5058
Friuli Venezia Giulia,10,5391,5159
Friuli Venezia Giulia,11,5449,5085
Friuli Venezia Giulia,12,5453,5281
Friuli Venezia Giulia,13,5426,5264
Friuli Venezia Giulia,14,5455,5056
Friuli Venezia Giulia,15,5359,5221
Friuli Venezia Giulia,16,5469,5048
Friuli Venezia Giulia,17,5362,5022
Friuli Venezia Giulia,18,5565,5021
Friuli Venezia Giulia,19,5672,5272
Friuli Venezia Giulia,20,5548,5038
Friuli Venezia Giulia,21,5659,5062
Friuli Venezia Giulia,22,5556,5020
Friuli Venezia Giulia,23,5759,5115
Friuli Venezia Giulia,24,5565,5002
Friuli Venezia Giulia,25,5547,5045
Friuli Venezia Giulia,26,5664,5097
Friuli Venezia Giulia,27,5928,5487
Friuli Venezia Giulia,28,5934,5627
Friuli Venezia Giulia,29,6037,5661
Friuli Venezia Giulia,30,6011,5690
Friuli Venezia Giulia,31,6117,5893
Friuli Venezia Giulia,32,5808,5729
Friuli Venezia Giulia,33,6026,5830
Friuli Venezia Giulia,34,6244,6150
Friuli Venezia Giulia,35,6465,6133
Friuli Venezia Giulia,36,6496,6154
Friuli Venezia Giulia,37,6818,6568
Friuli Venezia Giulia,38,6922,6567
Friuli Venezia Giulia,39,7196,6812
Friuli Venezia Giulia,40,7400,6991
Friuli Venezia Giulia,41,8029,7635
Friuli Venezia Giulia,42,8097,7818
Friuli Venezia Giulia,43,8442,8432
Friuli Venezia Giulia,44,9003,8868
Friuli Venezia Giulia,45,9739,9581
Friuli Venezia Giulia,46,9509,9624
Friuli Venezia Giulia,47,9896,9842
Friuli Venezia Giulia,48,9871,9911
Friuli Venezia Giulia,49,9859,10130
Friuli Venezia Giulia,50,10102,9969
Friuli Venezia Giulia,51,10060,9923
Friuli Venezia Giulia,52,10014,10203
Friuli Venezia Giulia,53,10033,10224
Friuli Venezia Giulia,54,10217,10270
Friuli Venezia Giulia,55,10385,10439
Friuli Venezia Giulia,56,9704,10044
Friuli Venezia Giulia,57,9250,9430
Friuli Venezia Giulia,58,9088,9131
Friuli Venezia Giulia,59,8789,8808
Friuli Venezia Giulia,60,8544,8803
Friuli Venezia Giulia,61,7935,8419
Friuli Venezia Giulia,62,7650,8311
Friuli Venezia Giulia,63,7673,8074
Friuli Venezia Giulia,64,7477,7900
Friuli Venezia Giulia,65,7221,7881
Friuli Venezia Giulia,66,7133,7867
Friuli Venezia Giulia,67,6928,7881
Friuli Venezia Giulia,68,6840,7754
Friuli Venezia Giulia,69,7288,8210
Friuli Venezia Giulia,70,7189,8023
Friuli Venezia Giulia,71,7627,8511
Friuli Venezia Giulia,72,7432,8632
Friuli Venezia Giulia,73,7873,8887
Friuli Venezia Giulia,74,5318,6044
Friuli Venezia Giulia,75,6150,7290
Friuli Venezia Giulia,76,5979,7092
Friuli Venezia Giulia,77,5781,7220
Friuli Venezia Giulia,78,5777,7183
Friuli Venezia Giulia,79,5922,7479
Friuli Venezia Giulia,80,5357,7086
Friuli Venezia Giulia,81,4971,6683
Friuli Venezia Giulia,82,4364,5988
Friuli Venezia Giulia,83,3643,5517
Friuli Venezia Giulia,84,3352,5204
Friuli Venezia Giulia,85,2745,4750
Friuli Venezia Giulia,86,2467,4319
Friuli Venezia Giulia,87,2111,4056
Friuli Venezia Giulia,88,1844,3648
Friuli Venezia Giulia,89,1643,3559
Friuli Venezia Giulia,90,1205,2954
Friuli Venezia Giulia,91,987,2531
Friuli Venezia Giulia,92,757,2220
Friuli Venezia Giulia,93,559,1913
Friuli Venezia Giulia,94,446,1529
Friuli Venezia Giulia,95,346,1219
Friuli Venezia Giulia,96,239,948
Friuli Venezia Giulia,97,153,680
Friuli Venezia Giulia,98,101,581
Friuli Venezia Giulia,99,71,355
Friuli Venezia Giulia,100,51,341
Friuli Venezia Giulia,Totale,586719,619497
Liguria,0,4421,4211
Liguria,1,4628,4343
Liguria,2,5002,4672
Liguria,3,5163,4763
Liguria,4,5224,4978
Liguria,5,5640,5218
Liguria,6,5691,5265
Liguria,7,5936,5654
Liguria,8,5847,5562
Liguria,9,6065,5865
Liguria,10,6259,6213
Liguria,11,6469,6269
Liguria,12,6546,5918
Liguria,13,6453,6186
Liguria,14,6525,6046
Liguria,15,6476,6172
Liguria,16,6461,5968
Liguria,17,6616,6162
Liguria,18,6656,6286
Liguria,19,6914,6325
Liguria,20,7000,6138
Liguria,21,7135,6253
Liguria,22,7003,6332
Liguria,23,7315,6331
Liguria,24,6956,6311
Liguria,25,6907,6443
Liguria,26,7031,6548
Liguria,27,7482,6845
Liguria,28,7183,6910
Liguria,29,7240,6960
Liguria,30,7202,6996
Liguria,31,7383,7157
Liguria,32,7340,6858
Liguria,33,7210,6890
Liguria,34,7499,7242
Liguria,35,7424,7196
Liguria,36,7653,7358
Liguria,37,7658,7336
Liguria,38,7866,7801
Liguria,39,7778,7755
Liguria,40,7977,8293
Liguria,41,8546,9040
Liguria,42,9131,9476
Liguria,43,9834,9954
Liguria,44,10483,10694
Liguria,45,11044,11532
Liguria,46,11419,11571
Liguria,47,12031,12191
Liguria,48,12152,12338
Liguria,49,12059,12605
Liguria,50,12409,12837
Liguria,51,12589,12896
Liguria,52,12273,13078
Liguria,53,12907,13433
Liguria,54,13136,13697
Liguria,55,13346,13701
Liguria,56,12352,13074
Liguria,57,11828,12631
Liguria,58,11465,12203
Liguria,59,11066,11764
Liguria,60,10916,11703
Liguria,61,10379,11235
Liguria,62,10357,10998
Liguria,63,10000,10763
Liguria,64,9564,10519
Liguria,65,9564,10415
Liguria,66,9146,10156
Liguria,67,8858,9806
Liguria,68,8680,9937
Liguria,69,9362,10417
Liguria,70,9203,10760
Liguria,71,9770,11254
Liguria,72,9871,11634
Liguria,73,9712,11765
Liguria,74,6997,8461
Liguria,75,7779,9526
Liguria,76,7473,9235
Liguria,77,7358,9609
Liguria,78,7468,9814
Liguria,79,7868,10477
Liguria,80,7476,10203
Liguria,81,7024,9879
Liguria,82,6199,9045
Liguria,83,5391,8201
Liguria,84,5022,7859
Liguria,85,4437,7193
Liguria,86,3997,6757
Liguria,87,3482,6453
Liguria,88,3015,5885
Liguria,89,2679,5613
Liguria,90,2105,4696
Liguria,91,1686,3890
Liguria,92,1313,3258
Liguria,93,909,2677
Liguria,94,692,2116
Liguria,95,471,1629
Liguria,96,325,1239
Liguria,97,221,953
Liguria,98,145,654
Liguria,99,82,465
Liguria,100,71,562
Liguria,Totale,730371,794455
Emilia-Romagna,0,15718,15196
Emilia-Romagna,1,17006,15773
Emilia-Romagna,2,17483,16256
Emilia-Romagna,3,18132,17215
Emilia-Romagna,4,18734,17773
